#,Add I,POS I,Component I,POS II,Component II,Add II
871,,adj,future,n,development,
872,,adj,future,n,prospects,
873,,adj,future,n,research,
874,,adj,future,n,study,
875,,v,gain,n,access,(to)
876,,v,gain,n,information,
877,,v,gain,n,(an) insight,(into)
878,,v,gather,n,data,
879,,v,gather,n,information,
880,,n,gender,n,equality,
881,,n,gender,n,stereotype,
882,,adj,general,n,agreement,
883,,adj,general,n,approach,
884,,adj,general,n,argument,
885,,adj,general,n,aspect,
886,,adj,general,n,category,
887,,adj,general,n,conclusion,
888,,adj,general,n,consensus,
889,,adj,general,n,definition,
890,,adj,general,n,feature,
891,,adj,general,n,formula,
892,,adj,general,n,overview,
893,,adj,general,n,principle,
894,,adj,general,n,statement,
895,,adj,general,n,tendency,
896,,adj,general,n,theory,
897,,adj,general,n,trend,
898,(be),adv,generally,vpp,accepted,
899,,adv,generally,v,agree,
900,(be),adv,generally,vpp,assumed,
901,(be),adv,generally,vpp,considered,
902,(be),adv,generally,vpp,found,
903,(be),adv,generally,vpp,known,(as/by)
904,,adj,genetic,n,variation,
905,,adj,geographic(al),n,area,
906,,adj,geographic(al),n,distribution,
907,,adj,geographic(al),n,location,
908,,v,get,adj,involved,(with/in)
909,,v,give,n,access,(to)
910,,v,give,n,consent,
911,,v,give,n,consideration,
912,,v,give,n,emphasis,
913,,v,give,n,evidence,
914,,v,give,n,feedback,
915,,v,give,n,priority,(to)
916,,v,give ,n,guidance,
917,,v,give ,n,information,
918,,v,give ,n,insight,(into)
919,,v,give,n,(a) presentation,
920,,v,give,n,(an) explanation,
921,,v,give,n,(an) indication,(of)
922,,v,give,n,(an) overview,(of)
923,,v,give (sb),n,(an) impression,
924,,v,give (sb),n,treatment,
925,,adj,given,n,information,
926,(in a),adj,given,n,period,
927,,adj,global,n,capitalism,
928,,adj,global,n,context,
929,,adj,global,n,culture,
930,,adj,global,n,economy,
931,,adj,global,n,issue,
932,,adj,global,n,market,
933,,adj,global,n,marketplace,
934,,adj,global,n,media,
935,,adj,global,n,network,
936,,adj,global,n,perspective,
937,,adj,global,n,shift,(in)
938,,adj,global,n,structure,
939,,adj,global,n,trade,
940,,adj,global,n,village,
941,,n,government,n,control,
942,,n,government,n,department,
943,,n,government,n,expenditure,
944,,n,government,n,intervention,
945,,n,government,n,policy,
946,,adj,graphical,n,representation,
947,,adj,great,n,accuracy,
948,,adj,great,n,diversity,
949,,adj,great,n,impact,
950,,adj,great,n,majority,
951,,adj,great,n,potential,
952,(a),adj,great,n,proportion,(of)
953,(a),adj,great,n,range,(of)
954,,adj,great,n,significance,
955,,adj,greater,n,autonomy,
956,,adj,greater,n,awareness,
957,(add),adj,greater,n,emphasis,
958,,adj,greater,n,equality,
959,,adj,greater,n,flexibility,
960,,adj,greater,n,likelihood,
961,,adv,greatly,v,enhance,
962,,adv,greatly,v,increase,
963,(be),adv,greatly,vpp,influenced,(by)
964,(be),adv,greatly,vpp,reduced,
965,,v,grow,adv,rapidly,
966,,adj,growing,n,awareness,
967,(a),adj,growing,n,trend,
968,(a),adj,guiding,n,principle,
969,(be),adv,hardly,adj,surprising,
970,,v,have,n,access,(to)
971,,v,have,n,consequences,
972,,v,have,n,limitations,
973,,v,have,n,potential,
974,,v,have,n,(a) strategy,
975,,v,have,n,(a) tendency,(to)
976,,v,have,n,(an) obligation,
977,(a),adj,heated,n,debate,
978,(be),adv,heavily,vpp,influenced,(by)
979,,adj,hierarchical,n,structure,
980,(a),adj,high,n,concentration,(of)
981,(a),adj,high,n,correlation,
982,,adj,high,n,expectations,
983,,adj,high,n,incidence,
984,,adj,high,n,intensity,
985,,adj,high,n,level,
986,,adj,high,n,order,
987,(a),adj,high,n,percentage,(of)
988,,adj,high,n,priority,
989,(have a),adj,high,n,probability,
990,,adj,high,n,profile,
991,(a),adj,high,n,proportion,(of)
992,,adj,high,n,quality,
993,(a),adj,high,n,rate,(of)
994,,adj,high,n,score,
995,(a),adj,high,n,standard,(of)
996,,adj,high,n,status,
997,,adj,high,n,turnover,
998,,adj,high,n,unemployment,
999,,adj,high,n,value,
1000,,adj,high,n,frequency,
1000,,adj,higher,n,frequency,
1001,(a),adj,higher,n,degree,(of)
1002,,adj,higher,n,education,
1003,(be),adv,highly,vpp,charged,
1004,,adv,highly,adj,competitive,
1005,,adv,highly,adj,complex,
1006,,adv,highly,adj,controversial,
1007,(be),adv,highly,vpp,correlated,(with)
1008,,adv,highly,adj,critical,
1009,,adv,highly,adj,dependent,
1010,,adv,highly,adj,desirable,
1011,(be),adv,highly,vpp,developed,
1012,(be),adv,highly,vpp,educated,
1013,,adv,highly,adj,effective,
1014,,adv,highly,adj,efficient,
1015,,adv,highly,adj,influential,
1016,,adv,highly,adj,likely,
1017,,adv,highly,adj,problematic,
1018,,adv,highly,adj,relevant,
1019,,adv,highly,adj,selective,
1020,,adv,highly,adj,sensitive,
1021,,adv,highly,adj,significant,
1022,,adv,highly,adj,skilled,
1023,,adv,highly,adj,sophisticated,
1024,(be),adv,highly,vpp,structured,
1025,,adv,highly,adj,successful,
1026,,adv,highly,adj,unlikely,
1027,(be),adv,highly,vpp,valued,
1028,,adv,highly,adj,variable,
1029,,adj,historical,n,account,
1030,,adj,historical,n,analysis,
1031,,adj,historical,n,background,
1032,,adj,historical,n,change,
1033,,adj,historical,n,circumstances,
1034,,adj,historical,n,context,
1035,,adj,historical,n,data,
1036,,adj,historical,n,development,
1037,,adj,historical,n,event,
1038,,adj,historical,n,evidence,
1039,,adj,historical,n,factors,
1040,,adj,historical,n,interpretation,
1041,,adj,historical,n,knowledge,
1042,,adj,historical,n,period,
1043,,adj,historical,n,perspective,
1044,,adj,historical,n,reality,
1045,,adj,historical,n,record,
1046,,adj,historical,n,roots,
1047,,adj,historical,n,study,
1048,,adj,historical,n,writing,
1049,,adv,historically,adj,specific,
1050,,v,hold,n,(a) conference,
1051,,adj,holistic,n,approach,
1052,,adj,homogeneous,n,group,
1053,(a),adj,huge,n,amount,(of)
1054,,adj,human,n,activity,
1055,,adj,human,n,behaviour,
1056,,adj,human,n,interaction,
1057,,adj,human,n,society,
1058,,adj,human,n,species,
1059,(be),adv,ideally,vpp,suited,
1060,,v,identify,n,factors,
1061,,v,identify,n,features,
1062,,v,identify,n,(a) problem,
1063,,v,identify,n,(a) way,
1064,,v,identify,n,(an) area,
1065,,v,identify,n,(an) issue,
1066,,adj,immediate,n,environment,
1067,,adv,immediately,adj,apparent,
1068,,adv,immediately,adj,following,
1069,,adv,immediately,adj,obvious,
1070,,adv,immediately,adj,preceding,
1071,,adj,imported,n,goods,
1072,,adj,imported,n,products,
1073,,v,impose,n,constraints,
1074,,v,impose,n,limitations,
1075,,v,impose,n,restrictions,
1076,,adj,improved,n,performance,
1077,,v,increase,n,awareness,
1078,,v,increase,adv,dramatically,
1079,,v,increase,n,(the) likelihood,(of)
1080,,adj,increased,n,awareness,
1081,,adj,increased,n,competition,
1082,(an),adj,increased,n,demand,(for)
1083,,adj,increased,n,importance,
1084,,adj,increased,n,interest,
1085,,adj,increased,n,level,
1086,,adj,increased,n,number,
1087,,adj,increased,n,pressure,
1088,,adj,increased,n,production,
1089,,adj,increased,n,productivity,
1090,,adj,increased,n,risk,
1091,,adj,increasing,n,awareness,
1092,,adj,increasing,n,complexity,
1093,,adj,increasing,n,demand,
1094,,adj,increasing,n,emphasis,
1095,,adj,increasing,n,importance,
1096,,adj,increasing,n,interest,
1097,,adj,increasing,n,pressure,
1098,(a),adj,increasing,n,proportion,(of)
1099,,adj,increasing,n,tendency,
1100,,adj,increasing,n,trend,
1101,,adv,increasingly,adj,aware,
1102,,adv,increasingly,adj,common,
1103,,adv,increasingly,adj,complex,
1104,,adv,increasingly,adj,difficult,
1105,,adv,increasingly,adj,important,
1106,,adv,increasingly,adj,popular,
1107,,adv,increasingly,adj,sophisticated,
1108,,adj,independent,n,state,
1109,,adj,independent,n ,variable,
1110,,adj,indigenous,n,people,
1111,,adj,indigenous,n,population,
1112,,adj,individual,n,behaviour,
1113,,adj,individual,n,case,
1114,,adj,individual,n,characteristics,
1115,,adj,individual,n,choice,
1116,,adj,individual,n,component,
1117,,adj,individual,n,difference,
1118,,adj,individual,n,element,
1119,,adj,individual,n,experience,
1120,,adj,individual,n,interests,
1121,,adj,individual,n,item,
1122,,adj,individual,n,needs,
1123,,adj,individual,n,response,
1124,,adj,individual,n,responsibility,
1125,,adj,individual,n,rights,
1126,,adj,individual,n,variable,
1127,,adj,individual,n,variation,
1128,,adj,industrial,n,capitalism,
1129,,adj,industrial,n,country,
1130,,adj,industrial,n,development,
1131,,adj,industrial,n,production,
1132,,adj,industrial,n,society,
1133,,adj,industrialized,n,country,
1134,,adj,industrialized,n,nation,
1135,(be),adv,inextricably,vpp,linked,(to/with)
1136,,adj,infinite,n,number,
1137,,n,information,n,flow,
1138,,n,information,n,gathering,
1139,,n,information,n,processing,
1140,,n,information,n,retrieval,
1141,,n,information,n,sharing,
1142,,adj,informed,n,consent,
1143,,adj,initial,n,period,
1144,,adj,initial,n,phase,
1145,,adj,initial,n,position,
1146,,adj,initial,n,research,
1147,,adj,initial,n,stage,
1148,,adj,institutional,n,arrangement,
1149,,adj,institutional,n,context,
1150,,adj,institutional,n,framework,
1151,,adj,institutional,n,structure,
1152,,adj,institutional,n,support,
1153,(an),adj,integral,n,part,(of)
1154,,adj,integrated,n,approach,
1155,,adj,integrated,n,system,
1156,,adj,intellectual,n,property,
1157,,adj,intellectual,n,work,
1158,,adj,intensive,n,study,
1159,,adj,interested,n,party,
1160,,adj,internal,n,affairs,
1161,,adj,internal,n,conflict,
1162,,adj,internal,n,control,
1163,,adj,internal,n,market,
1164,,adj,internal,n,organ,
1165,,adj,internal,n,structure,
1166,,adj,international,n,agreement,
1167,,adj,international,n,body,
1168,,adj,international,n,community,
1169,,adj,international,n,conference,
1170,,adj,international,n,context,
1171,,adj,international,n,journal,
1172,,adj,international,n,organization,
1173,,adj,international,n,treaty,
1174,have,n,internet,n,access,
1175,,adj,interpersonal,n,relationships,
1176,,adj,interpersonal,n,skills,
1177,,v,interpret,n,data,
1178,,adj,intimate,n,relationship,
1179,(be),adv,intimately,vpp,connected,(to/with)
1180,,adj,intrinsic,n,value,
1181,,v,introduce,n,legislation,
1182,,adj,introductory,n,chapter,
1183,,adj,introductory,n,section,
1184,,adj,introductory,n,text,
1185,,adv,keenly,adj,aware,
1186,,adj,key,n,area,
1187,,adj,key,n,aspect,
1188,,adj,key,n,characteristic,
1189,,adj,key,n,component,
1190,,adj,key,n,concept,
1191,(the),adj,key,n,element,
1192,,adj,key,n,factor,
1193,,adj,key,n,feature,
1194,,adj,key,n,findings,
1195,,adj,key,n,issue,
1196,,adj,key,n,objective,
1197,,adj,key,n,player,
1198,,adj,key,n,policy,
1199,,adj,key,n,principle,
1200,,adj,key,n,role,
1201,,adj,key,n,source,
1202,,adj,key,n,text,
1203,,adj,key,n,theme,
1204,,adj,key,n,topic,
1205,,adj,large,n,majority,
1206,(a),adj,large,n,percentage,(of)
1207,,adj,large,n,portion,
1208,(a),adj,large,n,proportion,(of)
1209,,adj,large,n,quantities,(of)
1210,(a),adj,large,n,range,(of)
1211,(be),adv,largely,vpp,based,(on)
1212,(be),adv,largely,vpp,confined,(to)
1213,(be),adv,largely,vpp,determined,(by)
1214,(be),adv,largely,vpp,ignored,
1215,(be),adv,largely,adj,responsible,(for)
1216,,adj,later,n,work,
1217,,adj,later,n,writings,
1218,,v,lead to,n,(the) conclusion,
1219,,adj,leading,n,role,
1220,,adj,learning,n,activity,
1221,,n,learning,n,difficulties,
1222,,n,learning,n,environment,
1223,,n,learning,n,objective,
1224,,n,learning,n,outcome,
1225,,n,learning,n,process,
1226,,n,learning,n,resources,
1227,,n,learning,n,strategy,
1228,,adj,legal,n,action,
1229,,adj,legal,n,basis,
1230,,adj,legal,n,framework,
1231,,adj,legal,n,issue,
1232,,adj,legal,n,obligation,
1233,,adj,legal,n,position,
1234,,adj,legal,n,proceedings,
1235,,adj,legal,n,protection,
1236,,adj,legal,n,requirement,
1237,,adj,legal,n,right,
1238,,adj,legal,n,rule,
1239,,adj,legal,n,status,
1240,,adj,legal,n,system,
1241,,adj,legislative,n,measures,
1242,,adj,legislative,n,power,
1243,,adj,liberal,n,democracy,
1244,,adj,lifelong,n,learning,
1245,,adj,likely,n,impact,
1246,,adj,likely,n,outcome,
1247,,adj,limited,n,access,
1248,,adj,limited,n,capacity,
1249,,adj,limited,n,information,
1250,,adj,limited,n,opportunity,
1251,(a),adj,limited,n,range,(of)
1252,,adj,limited,n,resources,
1253,,adj,linear,n,relationship,
1254,,adj,literal,n,interpretation,
1255,,adj,literal,n,meaning,
1256,(in a),adj,literal,n,sense,
1257,,adj,literary,n,text,
1258,,adj,literary,n,tradition,
1259,,adj,little,n,evidence,
1260,,adj,little,n,impact,
1261,,adj,little,n,information,
1262,,adj,little,n,research,
1263,,adj,little,n,significance,
1264,,adj,living,n,conditions,
1265,,adj,living,n,organism,
1266,,adj,living,n,standard,
1267,,adj,local,n,area,
1268,,adj,local,n,authority,
1269,,adj,local,n,circumstances,
1270,,adj,local,n,community,
1271,,adj,local,n,culture,
1272,,adj,local,n,economy,
1273,,adj,local,n,government,
1274,,adj,logical,n,approach,
1275,,adj,logical,n,argument,
1276,,adj,logical,n,conclusion,
1277,,adj,long,n,duration,
1278,,adv,long,adj,established,
1279,,adj,longitudinal,n,study,
1280,,adj,low,n,income,
1281,,adj,low,n,intensity,
1282,,adj,low,n,level,
1283,(a),adj,low,n,percentage,(of)
1284,,adj,low,n,priority,
1285,,adj,low,n,probability,
1286,,adj,low,n,profile,
1287,,adj,low,n,quality,
1288,,adj,low,n,status,
1289,,adj,low,n,turnover,
1290,,adj,low,n,unemployment,
1291,,adj,low,n,frequency,
1291,,adj,lower,n,frequency,
1292,,adj,lower,n,class,
1293,,adj,main,n,area,
1294,,adj,main,n,argument,
1295,,adj,main,n,category,
1296,,adj,main,n,characteristics,
1297,,adj,main,n,component,
1298,,adj,main,n,element,
1299,,adj,main,n,factor,
1300,,adj,main,n,feature,
1301,,adj,main,n,findings,
1302,,adj,main,n,focus,
1303,,adj,main,n,function,
1304,,adj,main,n,issue,
1305,,adj,main,n,principle,
1306,,adj,main,n,source,
1307,,adj,main,n,task,
1308,,adj,main,n,theme,
1309,(be),adv,mainly,vpp,concerned,(with)
1310,,v,maintain,n,contact,
1311,(a),adj,major,n,advantage,(of)
1312,,adj,major,n,area,
1313,(a),adj,major,n,cause,(of)
1314,(a),adj,major,n,challenge,
1315,,adj,major,n,change,
1316,,adj,major,n,component,
1317,,adj,major,n,concern,
1318,,adj,major,n,contribution,
1319,,adj,major,n,decision,
1320,,adj,major,n,difference,
1321,,adj,major,n,factor,
1322,,adj,major,n,feature,
1323,,adj,major,n,focus,
1324,,adj,major,n,impact,
1325,,adj,major,n,implications,
1326,,adj,major,n,influence,
1327,,adj,major,n,issue,
1328,(a),adj,major,n,part,(of)
1329,(a),adj,major,n,problem,(of/with)
1330,(a),adj,major,n,reason,(for)
1331,,adj,major,n,role,
1332,(a),adj,major,n,shift,(in)
1333,(the/a),adj,major,n,source,(of)
1334,,adj,major,n,theme,
1335,,v,make,n,adjustments,
1336,,v,make,n,arrangements,
1337,,v,make,adj,available,
1338,,v,make,adj,aware,
1339,,v,make,n,contact,
1340,,v,make,n,(a) contribution,
1341,,v,make,adj,explicit,
1342,,v,make,n,policy,
1343,,v,make,n,provision,
1344,,v,make,adj,visible,
1345,,v,make,n,(a) comment,
1346,,v,make,n,(a) distinction,
1347,,v,make,n,(a) living,
1348,,v,make,n,(a) prediction,
1349,,v,make,n,(a) recommendation,
1350,,v,make,n,(a) statement,
1351,,v,make,n,(a) transition,
1352,,v,make,n,(an) argument,
1353,,v,make,n,(an) assessment,
1354,,v,make,n,(an) assumption,
1355,,v,make,n,(an) impact,
1356,,v,make,n,(an) impression,
1357,,v,make,n,(an) observation,
1358,,v,make,n,(a) judgement,
1359,,adj,male,n,dominance,
1360,,adj,manual,n,worker,
1361,,adj,manufacturing,n,sector,
1362,,adj,marked,n,contrast,
1363,(be),adv,markedly,adj,different,
1364,,adj,maximum,n,duration,
1365,,adj,mean,n,score,
1366,(in),adj,(a) meaningful,n,way,
1367,,n,media,n,coverage,
1368,,adj,medical,n,assistance,
1369,,adj,medical,n,treatment,
1370,,v,meet,n,(the) criteria,
1371,,v,meet,n,expectations,
1372,,v,meet,n,(a) requirement,
1373,,v,meet,n,(a) target,
1374,,v,meet,n,(an) objective,
1375,,adj,mental,n,health,
1376,,adj,mental,n,illness,
1377,,adj,mental,n,state,
1378,,adj,methodological,n,approach,
1379,,adj,methodological,n,issue,
1380,,adj,methodological,n,problem,
1381,,adj,metropolitan,n,area,
1382,,adj,middle,n,income,
1383,,adj,middle,n,management,
1384,,adj,migrant,n,worker,
1385,,adj,military,n,action,
1386,,adj,military,n,force,
1387,,adj,military,n,power,
1388,,adj,military,n,service,
1389,,adj,minimum,n,level,
1390,,adj,minimum,n,requirement,
1391,,adj,minimum,n,standard,
1392,,adj,minimum,n,value,
1393,,adj,minimum,n,wage,
1394,,adj,minor,n,change,
1395,,adj,minor,n,role,
1396,,n,minority,n,group,
1397,,adj,missing,n,data,
1398,,adj,modern,n,culture,
1399,,adj,modern,n,method,
1400,,adj,modern,n,society,
1401,,adj,modern,n,technology,
1402,,adj,modified,n,form,
1403,,adj,modified,n,version,
1404,,adj,moral,n,dilemma,
1405,,adj,moral,n,philosophy,
1406,,adj,moral,n,principle,
1407,,adj,multiple,n,identities,
1408,,adj,multiple,n,sources,
1409,,adj,municipal,n,government,
1410,,adj,mutual,n,recognition,
1411,,adj,mutual,n,support,
1412,,adj,mutual,n,trust,
1413,,adj,mutual,n,understanding,
1414,(be),adv,mutually,adj,exclusive,
1415,,adj,narrow,n,definition,
1416,(a),adj,narrow,n,range,(of)
1417,,adj,national,n,average,
1418,,adj,national,n,boundary,
1419,,adj,national,n,conference,
1420,,adj,national,n,culture,
1421,,adj,national,n,economy,
1422,,adj,national,n,government,
1423,,adj,national,n,identity,
1424,,adj,national,n,income,
1425,,adj,national,n,institution,
1426,,adj,national,n,interest,
1427,,adj,national,n,language,
1428,,adj,national,n,legislation,
1429,,adj,national,n,market,
1430,,adj,national,n,media,
1431,,adj,national,n,movement,
1432,,adj,national,n,policy,
1433,,adj,national,n,press,
1434,,adj,national,n,security,
1435,,adj,national,n,survey,
1436,,adj,native,n,speaker,
1437,,adj,natural,n,conditions,
1438,,adj,natural,n,disaster,
1439,,adj,natural,n,environment,
1440,,adj,natural,n,history,
1441,,adj,natural,n,language,
1442,,adj,natural,n,law,
1443,,adj,natural,n,order,
1444,,adj,natural,n,philosophy,
1445,,adj,natural,n,process,
1446,,adj,natural,n,resources,
1447,,adj,natural,n,right,
1448,,adj,natural,n,science,
1449,,adj,natural,n,tendency,
1450,,adj,natural,n,world,
1451,,adv,naturally,adj,occurring,
1452,,adj,necessary,n,information,
1453,,adj,negative,n,aspect,
1454,,adj,negative,n,attitude,
1455,,adj,negative,n,connotation,
1456,,adj,negative,n,consequences,
1457,,adj,negative,n,correlation,
1458,,adj,negative,n,effect,
1459,,adj,negative,n,feedback,
1460,,adj,negative,n,impact,
1461,,adj,negative,n,outcome,
1462,,adj,negative,n,side,
1463,,adj,negative,n,stereotype,
1464,,adj,negative,n,value,
1465,,adj,negative,n,view,
1466,(be),adv,negatively,vpp,correlated,(with)
1467,,adj,new,n,initiative,
1468,,adj,new,n,insight,
1469,,adj,new,n,perspective,
1470,,adv,newly,vpp,acquired,
1471,,adv,newly,vpp,created,
1472,,adv,newly,vpp,discovered,
1473,,adv,newly,adj,emerging,
1474,,adv,newly,adj,established,
1475,,adv,newly,vpp,formed,
1476,,adj,next,n,decade,
1477,,adj,next,n,generation,
1478,(the),adj,next,n,phase,
1479,(in),adj,normal,n,conditions,
1480,,adj,normal,n,development,
1481,,adj,normal,n,distribution,
1482,,adj,normal,n,practice,
1483,(a),adj,notable,n,exception,
1484,,adj,nuclear,n,energy,
1485,,adj,nuclear,n,family,
1486,(a),adj,nuclear,n,power,
1487,(a),adj,nuclear,n,war,
1488,(a),adj,nuclear,n,weapon,
1489,,adj,numerical,n,data,
1490,,adj,numerical,n,value,
1491,,adj,numerous,n,studies,
1492,,adj,objective,n,criteria,
1493,,adj,objective,n,reality,
1494,,v,obtain,n,data,
1495,,v,obtain,n,information,
1496,,v,obtain,n,(a) result,
1497,,adj,obvious,n,difference,
1498,,adj,obvious,n,example,
1499,,adj,obvious,n,point,
1500,,adj,obvious,n,reason,
1501,,v,occur,adv,frequently,
1502,,v,occur,adv,naturally,
1503,,v,offer,n,(an) insight,(into)
1504,,v,offer,n,(an) opportunity,
1505,,adj,official,n,statistics,
1506,,adv,once,vpp,established,
1507,,adj,ongoing,n,debate,
1508,,adj,ongoing,n,process,
1509,,adj,online,n,access,
1510,,adj,online,n,database,
1511,,adj,online,n,journal,
1512,,adj,online,n,version,
1513,,adj,open,n,access,
1514,,adj,opening,n,chapter,
1515,,adj,opening,n,section,
1516,,n,opinion,n,leader,
1517,,adj,optimal,n,solution,
1518,,adj,oral,n,history,
1519,,adj,oral,n,presentation,
1520,,adj,organising,n,principle,
1521,,adj,organizational,n,structure,
1522,,adj,original,n,author,
1523,,adj,original,n,context,
1524,,adj,original,n,data,
1525,,adj,original,n,intent,
1526,,adj,original,n,meaning,
1527,,adj,original,n,model,
1528,,adj,original,n,position,
1529,,adj,original,n,research,
1530,,adj,original,n,source,
1531,,adj,original,n,text,
1532,,adj,original,n,version,
1533,,adj,original,n,work,
1534,(be),adv,originally,vpp,developed,
1535,(be),adv,originally,vpp,intended,
1536,,adj,overall,n,aim,
1537,,adj,overall,n,effect,
1538,,adj,overall,n,level,
1539,,adj,overall,n,performance,
1540,,adj,overall,n,picture,
1541,,adj,overall,n,rate,
1542,,adj,overall,n,structure,
1543,,adj,overwhelming,n,majority,
1544,,adj,paid,n,employment,
1545,(be of),adj,paramount,n,importance,
1546,,adj,particular,n,area,
1547,,adj,particular,n,aspect,
1548,,adj,particular,n,emphasis,
1549,,adj,particular,n,feature,
1550,,adj,particular,n,focus,
1551,,adj,particular,n,individual,
1552,,adj,particular,n,meaning,
1553,,adv,particularly,adj,acute,
1554,,adv,particularly,adj,apparent,
1555,,adv,particularly,adj,appropriate,
1556,(be),adv,particularly,vpp,concerned,(with)
1557,,adv,particularly,adj,effective,
1558,(be),adv,particularly,adj,evident,
1559,,adv,particularly,adj,influential,
1560,,adv,particularly,adj,relevant,
1561,,adv,particularly,adj,sensitive,
1562,,adv,particularly,adj,significant,
1563,,adv,particularly,adj,striking,
1564,,adv,particularly,adj,successful,
1565,(be),adv,particularly,vpp,suited,(to)
1566,,adv,particularly,adj,useful,
1567,,adv,particularly,adj,valuable,
1568,(be),adv,partly,adj,responsible,(for)
1569,,n,party,n,leader,
1570,,adj,past,n,research,
1571,,n,peace,n,treaty,
1572,,adj,perceived,n,importance,
1573,,adj,perceived,n,need,
1574,,adj,perceived,n,threat,
1575,,v,perform,n,(a) function,
1576,,v,perform,n,(a) study,
1577,,v,perform,n,(a) task,
1578,,adj,personal,n,choice,
1579,,adj,personal,n,circumstances,
1580,,adj,personal,n,communication,
1581,,adj,personal,n,contact,
1582,,adj,personal,n,control,
1583,,adj,personal,n,experience,
1584,,adj,personal,n,information,
1585,,adj,personal,n,interest,
1586,,adj,personal,n,knowledge,
1587,,adj,personal,n,quality,
1588,,adj,personal,n,relationship,
1589,,adj,personal,n,responsibility,
1590,,adj,personal,n,safety,
1591,,adj,personal,n,space,
1592,,adj,physical,n,activity,
1593,,adj,physical,n,appearance,
1594,,adj,physical,n,characteristics,
1595,,adj,physical,n,contact,
1596,,adj,physical,n,development,
1597,,adj,physical,n,environment,
1598,,adj,physical,n,features,
1599,,adj,physical,n,health,
1600,,adj,physical,n,needs,
1601,,adj,physical,n,presence,
1602,,adj,physical,n,properties,
1603,,adj,physical,n,proximity,
1604,,adj,physical,n,science,
1605,,adj,physical,n,space,
1606,,adj,physical,n,symptom,
1607,,adj,physical,n,world,
1608,,n,pilot,n,study,
1609,,adj,pioneering,n,work,
1610,,adj,pivotal,n,role,
1611,,v,place ,n,emphasis,(on)
1612,,n,planning,n,stage,
1613,(the only),adj,plausible,n,explanation,
1614,,v,play,n,(a) role,(in)
1615,,adj,political,n,activism,
1616,,adj,political,n,activity,
1617,,adj,political,n,agenda,
1618,,adj,political,n,arena,
1619,,adj,political,n,authority,
1620,,adj,political,n,circumstances,
1621,,adj,political,n,climate,
1622,,adj,political,n,conflict,
1623,,adj,political,n,consciousness,
1624,,adj,political,n,consensus,
1625,,adj,political,n,consequences,
1626,,adj,political,n,consideration,
1627,,adj,political,n,context,
1628,,adj,political,n,culture,
1629,,adj,political,n,debate,
1630,,adj,political,n,dimension,
1631,,adj,political,n,economy,
1632,,adj,political,n,environment,
1633,,adj,political,n,factors,
1634,,adj,political,n,identity,
1635,,adj,political,n,ideology,
1636,,adj,political,n,implications,
1637,,adj,political,n,instability,
1638,,adj,political,n,institution,
1639,,adj,political,n,leader,
1640,,adj,political,n,mobilization,
1641,,adj,political,n,movement,
1642,,adj,political,n,organization,
1643,,adj,political,n,participation,
1644,,adj,political,n,party,
1645,,adj,political,n,philosophy,
1646,,adj,political,n,reality,
1647,,adj,political,n,reform,
1648,,adj,political,n,representation,
1649,,adj,political,n,significance,
1650,,adj,political,n,spectrum,
1651,,adj,political,n,stability,
1652,,adj,political,n,status,
1653,,adj,political,n,structure,
1654,,adv,politically,adj,correct,
1655,(be),adv,politically,vpp,motivated,
1656,(be),adv,poorly,vpp,understood,
1657,,adj,popular,n,culture,
1658,,adj,popular,n,media,
1659,,v,pose,n,(a) challenge,
1660,,v,pose,n,(a) problem,
1661,,v,pose,n,(a) question,
1662,,v,pose,n,(a) threat,(to)
1663,,adj,positive,n,action,
1664,,adj,positive,n,aspect,
1665,,adj,positive,n,attitude,
1666,,adj,positive,n,connotation,
1667,,adj,positive,n,correlation,
1668,,adj,positive,n,discrimination,
1669,,adj,positive,n,effect,
1670,,adj,positive,n,feature,
1671,,adj,positive,n,feedback,
1672,,adj,positive,n,image,
1673,,adj,positive,n,impact,
1674,,adj,positive,n,influence,
1675,,adj,positive,n,outcome,
1676,,adj,positive,n,relationship,
1677,,adj,positive,n,result,
1678,,adj,positive,n,value,
1679,,adj,positive,n,view,
1680,(be),adv,positively,vpp,associated,(with)
1681,(be),adv,positively,vpp,correlated,(with)
1682,,adj,possible,n,consequences,
1683,,adj,possible,n,explanation,
1684,,adj,possible,n,outcome,
1685,,adj,possible,n,source,
1686,,adj,potential,n,benefits,
1687,,adj,potential,n,conflict,
1688,,adj,potential,n,customer,
1689,,adj,potential,n,harm,
1690,,adj,potential,n,impact,
1691,,adj,potential,n,problem,
1692,,adj,potential,n,risk,
1693,,adj,potential,n,source,
1694,,adj,potential,n,value,
1695,,adv,potentially,adj,dangerous,
1696,,adj,powerful,n,force,
1697,,adj,powerful,n,group,
1698,,adj,powerful,n,influence,
1699,(a),adj,powerful,n,tool,(for)
1700,,adj,practical,n,consideration,
1701,,adj,practical,n,difficulties,
1702,,adj,practical,n,issue,
1703,,adj,practical,n,significance,
1704,,adj,preceding,n,chapter,
1705,,adj,preceding,n,discussion,
1706,,adj,preceding,n,section,
1707,,adj,precise,n,definition,
1708,,adj,precise,n,nature,
1709,,adj,predictive,n,power,
1710,,adj,preferential,n,treatment,
1711,,adj,preliminary,n,data,
1712,,adj,preliminary,n,findings,
1713,,adj,preliminary,n,result,
1714,,adj,premature,n,death,
1715,,adj,present,n,context,
1716,,v,present,n,data,
1717,,v,present,n,difficulties,
1718,,v,present,n,evidence,
